zip_first_three_digits,population_count,housing_count,total_male_population,total_female_population,white,black_or_african_american,american_indian_or_alaskan_native,asian,native_hawaiian_and_other_pacific_islander,other_race,two_or_more_races,median_household_income,percent_population_in_poverty,median_earnings_past_year,percent_high_school_graduate,percent_bachelors_degree,percent_graduate_degree,pop_under_10,pop_10_to_19,pop_20_to_29,pop_30_to_39,pop_40_to_49,pop_50_to_59,pop_60_to_69,pop_70_to_79,pop_80_plus,kmeans_cluster
612,227311.0,99792.0,112092.0,115219.0,187214.0,21349.0,601.0,2719.0,64.0,9792.0,5572.0,49836.095358341656,13.782042971963522,28440.54011904395,87.20005072653764,20.024752754596125,6.683982453994746,666.9302325581396,697.6976744186046,638.046511627907,623.9767441860465,696.3953488372093,782.2093023255813,577.4418604651163,348.2093023255814,255.3953488372093,2
613,151967.0,68515.0,74752.0,77215.0,142805.0,1526.0,380.0,1014.0,25.0,4056.0,2161.0,50380.00752136977,12.550820305066232,27823.808307066665,88.62552103088171,16.09079852336362,5.046997190179446,311.6,335.93333333333334,276.35,279.73333333333335,351.0,384.98333333333335,270.1,178.06666666666666,145.01666666666668,2
614,147203.0,66827.0,73254.0,73949.0,133609.0,6492.0,304.0,1150.0,36.0,2792.0,2820.0,41143.25006283839,17.03778660013723,23235.10812279641,87.69546753123237,20.99454543997065,7.828783632127062,228.11267605633802,282.5633802816901,313.4366197183099,219.69014084507043,253.80281690140845,289.4507042253521,227.16901408450704,147.67605633802816,111.38028169014085,2
615,207112.0,86543.0,103032.0,104080.0,197529.0,2900.0,522.0,2408.0,47.0,1382.0,2324.0,60754.390064313026,9.040521844702383,33305.96953339256,91.51154111929775,25.151505853837538,7.7396654969292,581.8695652173913,602.7173913043479,480.82608695652175,574.5217391304348,631.1304347826087,654.695652173913,475.6521739130435,291.6521739130435,209.3695652173913,2
616,172517.0,78690.0,83361.0,89156.0,126217.0,32832.0,537.0,4696.0,52.0,2914.0,5269.0,47504.526806053895,19.809124801613756,29029.857793724677,88.48227087301541,25.775261811879403,9.444554602155149,2040.8181818181818,2101.6363636363635,2382.2727272727275,1939.0,1938.8181818181818,2152.909090909091,1509.090909090909,907.2727272727273,711.5454545454545,2
617,234885.0,96909.0,115403.0,119482.0,205029.0,13878.0,512.0,7512.0,63.0,3185.0,4706.0,61668.74031973093,13.304723935542924,30894.1915149967,93.32964601272963,36.43063706281798,10.896763552376695,568.0188679245283,646.433962264151,756.8679245283018,562.1698113207547,588.1320754716982,579.5471698113207,365.0566037735849,208.16981132075472,157.39622641509433,2
618,292105.0,127723.0,145659.0,146446.0,224510.0,35499.0,727.0,18560.0,157.0,5304.0,7348.0,46792.464846544906,21.991702515533795,26053.23505588744,91.57559340990397,35.696370657126714,17.118718077403674,588.7758620689655,744.5172413793103,1056.7241379310344,602.7931034482758,574.9137931034483,626.6379310344828,418.1896551724138,248.39655172413794,175.3448275862069,2
619,109606.0,47978.0,53185.0,56421.0,104329.0,2234.0,196.0,675.0,18.0,872.0,1282.0,41859.72120139408,17.899529605131104,23925.83488130212,87.51236444537707,20.577888742404614,7.290990911993868,432.3,511.23333333333335,620.2666666666667,395.2,430.9,495.1666666666667,355.3333333333333,229.9,183.23333333333332,2
620,307518.0,135442.0,151486.0,156032.0,277304.0,20531.0,755.0,2094.0,97.0,1950.0,4787.0,51861.10141194987,14.316723771616621,29506.201949154194,89.49596875890192,20.928290370319782,7.480595600257547,490.89473684210526,533.328947368421,538.828947368421,480.32894736842104,567.171052631579,585.6315789473684,405.86842105263156,255.60526315789474,188.6315789473684,2
622,487047.0,204994.0,240628.0,246419.0,370396.0,91967.0,1245.0,4695.0,321.0,9198.0,9225.0,54325.34796436484,14.906981336914095,30909.838684972907,88.76664452876211,23.422760743829652,8.530788972727478,854.7297297297297,921.2837837837837,880.5675675675676,841.7702702702703,947.9459459459459,933.2837837837837,587.1756756756756,357.2162162162162,257.7432432432432,0
