Housing Units,zipcode,Water Area,Median Home Value,Median Household Income,Population Density,Occupied Housing Units,Population,id,Land Area
8102,75001,0,258200,57633,3237,7088,12414,750,3.83
21373,75002,2.06,186100,91632,1699,20708,63140,750,37.16
17747,75006,0.25,146800,56985,2746,16631,46364,750,16.89
19296,75007,0.22,169400,78934,4433,18514,51624,750,11.65
3074,75009,1.57,190500,87581,92,2812,8785,750,95.42
8830,75010,0.1,200800,75696,2678,8339,21607,750,8.07
10517,75013,0.07,292300,131878,2026,10057,30347,750,14.98
14346,75019,1.8,281500,110445,2347,13808,38666,750,16.47
10085,75020,4.8,87900,40999,350,8814,21872,750,62.57
3489,75021,0.07,87800,40000,133,3149,8036,750,60.26
7149,75022,2.08,333700,145938,1174,6948,22545,750,19.21
18498,75023,0.01,173900,74777,4824,17801,45452,750,9.42
16253,75024,0.12,289300,88707,2852,15370,36039,750,12.64
18697,75025,0.05,253700,104168,5461,18134,50926,750,9.33
14476,75028,0.07,234700,111391,2788,14126,42226,750,15.15
9850,75032,8.37,211300,93308,545,9306,27986,750,51.31
26706,75034,3.96,285900,111318,1454,24900,72723,750,50.01
16739,75035,0.1,212800,102913,2011,16064,47553,750,23.64
13907,75038,0.04,171100,48130,2079,12453,27802,750,13.37
7793,75039,0.35,389600,73503,2103,6470,11032,750,5.25
19195,75040,0.01,113000,54664,3795,18164,59406,750,15.65
10380,75041,0,97300,40136,3837,9642,30700,750,8
12321,75042,0,99200,39811,5063,11545,37881,750,7.48
22920,75043,5.22,120900,55149,3999,21137,58094,750,14.53
16026,75044,0.07,136000,64302,3800,15215,40811,750,10.74
6972,75048,0.13,181500,87171,1939,6660,20328,750,10.48
16470,75050,0.26,104400,44548,1659,14954,41041,750,24.73
13862,75051,2.44,95400,40107,3240,12651,39285,750,12.12
29926,75052,1.91,134300,66744,3402,28598,88996,750,26.16
1690,75054,0.97,224600,105000,930,1546,5053,750,5.43
18126,75056,6.2,167500,79251,1895,16999,47852,750,25.25
5249,75057,2.29,98000,50338,1268,4846,12900,750,10.17
1021,75058,0.56,200000,79250,52,919,2982,750,57.64
15384,75060,0.3,110000,45775,3467,14307,45980,750,13.26
20001,75061,0.03,114900,40084,4622,17976,53442,750,11.56
17955,75062,0.09,121600,45872,4052,16201,44537,750,10.99
16678,75063,0.13,278200,69114,2312,15685,35090,750,15.18
4127,75065,7.71,157500,72342,1353,3888,10748,750,7.95
25790,75067,0.1,149100,56555,4588,24262,60982,750,13.29
11990,75068,7.61,161000,85446,1273,11288,34934,750,27.45
13423,75069,0.67,176400,45907,1064,12264,34108,750,32.05
27329,75070,0.24,197100,98524,3123,25584,74734,750,23.93
12872,75071,0.87,174700,80291,458,11713,36090,750,78.8
16019,75074,0.04,145400,54518,2702,15170,44622,750,16.52
13764,75075,0.01,180800,72852,3375,13132,33262,750,9.85
4448,75076,8.93,120300,52543,148,3209,7378,750,49.75
13213,75077,1.37,211100,99629,2532,12776,35330,750,13.95
3849,75078,0.27,341600,119529,324,3356,10592,750,32.73
18849,75080,0.02,183400,60440,3850,17869,44009,750,11.43
13893,75081,0,162300,63470,3702,13160,34156,750,9.23
7921,75082,0.07,254900,111726,2704,7718,21182,750,7.83
10513,75087,9.49,207500,86094,1075,10009,28145,750,26.18
8744,75088,3.17,154400,81425,2800,8430,24712,750,8.82
9821,75089,0.48,161000,86134,2730,9553,30251,750,11.08
9123,75090,0.05,76400,38216,308,8190,23724,750,77.05
10580,75092,0.41,121400,50771,202,9641,22839,750,113.33
19851,75093,0.13,350000,99225,3342,18939,47187,750,14.12
5956,75094,0.01,263300,116344,2951,5815,20579,750,6.97
16288,75098,7.86,158100,81413,1463,15553,48197,750,32.94
206,75101,0,75000,33438,785,191,646,751,0.82
555,75102,0.6,92000,40455,22,481,1322,751,60.7
5572,75103,3.25,124300,50286,64,4946,12851,751,199.45
16480,75104,0.25,132800,67691,1161,15634,45373,751,39.09
146,75105,0.75,64000,29500,6,119,301,751,51.36
1669,75109,27.38,93200,58317,31,1347,3658,751,116.29
11265,75110,1.34,82100,40235,188,10142,28132,751,149.95
1685,75114,0.44,120100,68287,108,1532,4660,751,43.25
19326,75115,0.04,142300,61729,2228,18058,48877,751,21.94
6932,75116,0.01,103000,53706,3838,6552,19669,751,5.12
1634,75117,0.33,103500,41348,79,1472,3722,751,46.9
9758,75119,9.28,110200,44808,100,8976,26601,751,264.75
2097,75124,2,92400,47500,48,1716,4446,751,93.08
2260,75125,0.8,78600,45375,96,2057,6691,751,69.67
11080,75126,0.93,157300,85677,432,10559,33396,751,77.34
653,75127,0.44,86100,45848,60,591,1593,751,26.58
153,75132,0,134900,65563,198,117,294,751,1.48
7380,75134,0.01,101500,46971,1984,6803,20276,751,10.22
2175,75135,0.09,112600,62800,95,1994,5910,751,62.17
7082,75137,0.01,126000,58895,3095,6731,18861,751,6.09
2916,75140,2.3,87700,41111,62,2592,6958,751,112.26
1164,75141,0.77,68000,34786,471,1046,5374,751,11.4
7019,75142,2.21,110700,53809,109,6313,18982,751,173.43
7381,75143,24.64,76900,40135,82,5762,14619,751,177.84
1598,75144,16.85,58300,32289,19,1278,3291,751,171.77
6929,75146,0.21,103400,59244,542,6366,17993,751,33.19
2765,75147,2.54,89100,45227,70,2493,6602,751,93.75
3250,75148,6.11,74300,34252,67,2362,5842,751,87.51
20056,75149,0.07,97400,47739,3530,18691,56065,751,15.88
23905,75150,0.01,105800,45999,4608,21997,58730,751,12.74
1638,75152,0.34,135500,54659,113,1512,4606,751,40.74
235,75153,1.26,67400,38692,26,192,605,751,23.51
12766,75154,0.03,139600,66162,767,11919,36041,751,47.01
975,75155,0.62,64500,37375,68,804,2579,751,38.05
8847,75156,16.25,88100,37212,466,6043,14580,751,31.27
139,75157,0.03,55900,41042,184,120,310,751,1.68
1602,75158,1.11,111800,58466,47,1466,4139,751,87.93
5838,75159,5.14,90000,45479,307,5409,18339,751,59.81
9109,75160,0.81,100800,44594,197,8212,23627,751,119.98
2555,75161,2.64,98300,56148,54,2298,6165,751,113.95
1548,75163,6.05,153800,51800,68,1033,2285,751,33.78
260,75164,0.18,105700,56042,294,230,671,751,2.28
14560,75165,1.69,137500,59385,337,13320,37966,751,112.68
1089,75166,3.3,173700,75804,232,1032,3070,751,13.21
2808,75167,0.57,176300,76207,86,2652,8436,751,97.58
6540,75169,14.01,85900,43316,68,5566,14644,751,214.1
1398,75172,0.15,54000,39246,339,1187,3956,751,11.66
1627,75173,4.89,157000,67327,143,1471,4353,751,30.46
7772,75180,0.02,83800,37787,3007,7083,23031,751,7.66
8180,75181,0.07,144400,73879,1472,7881,25908,751,17.59
1705,75182,2.31,290300,90366,291,1631,5118,751,17.61
7702,75189,1.01,144800,73146,202,7228,22406,751,110.99
6926,75201,0,520000,67979,6514,5821,9409,752,1.44
1468,75202,0,211100,79681,2358,1150,1666,752,0.71
6456,75203,0.02,65600,28602,3324,5487,15721,752,4.73
16495,75204,0,254400,63551,10277,14547,26279,752,2.56
9985,75205,0,937100,108913,5302,9016,23061,752,4.35
22937,75206,0.02,268000,52192,8516,20176,36248,752,4.26
770,75207,0.04,0,74792,2505,585,9648,752,3.85
10853,75208,0.01,120900,45170,5080,9807,30171,752,5.94
7076,75209,0.01,434400,79408,3862,6282,13653,752,3.53
3344,75210,0.15,54900,15258,3316,2680,7482,752,2.26
21528,75211,0.98,87800,36704,4151,19992,73146,752,17.62
7530,75212,0.1,73700,28802,2418,6796,24884,752,10.29
17269,75214,0.25,336900,69168,4553,15380,32950,752,7.24
7539,75215,0.2,56300,23433,1741,5907,14648,752,8.41
19261,75216,0.17,59700,23294,3379,16784,49416,752,14.62
23805,75217,0.97,73200,34480,2940,21625,80324,752,27.32
10842,75218,0.02,220500,65567,3100,10014,21665,752,6.99
15075,75219,0,247400,59650,10108,12384,22124,752,2.19
15382,75220,0.38,161100,35827,3701,13493,41891,752,11.32
4728,75223,0,95200,35949,4040,4217,13947,752,3.45
11084,75224,0.01,86900,33830,5825,10130,34034,752,5.84
9500,75225,0.01,824100,147153,4429,8573,20892,752,4.72
2013,75226,0,59300,42768,3130,1745,3506,752,1.12
17838,75227,0.01,86200,37720,4828,16304,55029,752,11.4
26701,75228,0.02,105300,36274,5837,23546,66551,752,11.4
11688,75229,0.03,272400,70625,2519,11038,31571,752,12.53
13735,75230,0.04,461900,68863,3717,12354,26934,752,7.25
17796,75231,0.03,253900,33546,6574,14689,37052,752,5.64
10570,75232,0,91200,36265,3469,9782,28682,752,8.27
4966,75233,0,115400,40151,4057,4398,14043,752,3.46
11033,75234,0.28,137600,53305,2786,10295,28794,752,10.34
7089,75235,0.2,106900,37530,2556,6295,17177,752,6.72
6179,75236,0.43,97500,37645,1277,5552,15949,752,12.49
8204,75237,0,104500,29787,2572,7261,17101,752,6.65
13098,75238,0,242300,52779,4635,12012,30483,752,6.58
10793,75240,0.01,173900,37095,6448,9239,24296,752,3.77
10137,75241,0.16,78300,30870,1008,9179,27066,752,26.86
28843,75243,0.01,178400,35944,6366,23672,55406,752,8.7
6103,75244,0,282800,72735,2877,5642,13266,752,4.61
1415,75246,0,122800,32254,6133,1204,2770,752,0.45
255,75247,0.04,0,23793,72,251,468,752,6.54
16409,75248,0.03,260300,72111,4508,15404,33395,752,7.41
4420,75249,0.02,117700,57247,2909,4263,13373,752,4.6
1816,75251,0,0,56788,5291,1495,2331,752,0.44
13082,75252,0.01,280300,54650,4778,12083,24112,752,5.05
5959,75253,0.87,48200,33283,1365,5359,18450,752,13.51
12460,75254,0,294800,44283,7006,11084,23253,752,3.32
0,75270,0,0,0,0,0,0,752,0
28942,75287,0.02,246400,46828,8754,26050,49004,752,5.6
0,75390,0,0,0,0,0,0,753,0
7506,75401,1,58200,31274,178,6612,18552,754,103.97
7123,75402,1.23,118200,57594,176,6446,15920,754,90.3
5282,75407,15.82,108500,52330,285,4769,14120,754,49.53
4207,75409,1.01,131000,61997,147,3883,11831,754,80.22
2083,75410,11.83,81700,40492,53,1753,4334,754,82.25
575,75411,5.97,94600,61641,14,468,1118,754,78.5
442,75412,1.47,68800,45508,5,346,778,754,151.92
131,75413,0,40000,44583,217,109,305,754,1.4
1312,75414,0.33,119500,51815,64,1176,3136,754,48.7
80,75415,0.1,73300,18529,14,59,144,754,10.51
1209,75416,0.75,74300,40685,39,1117,2893,754,74.01
1273,75417,6.25,81200,33056,15,1053,2456,754,161.37
5423,75418,2.01,92500,41466,103,4669,14411,754,139.77
504,75420,0.48,122200,50500,29,420,1076,754,36.6
420,75421,0.37,85000,54808,18,386,1003,754,54.66
1184,75422,0.42,89800,52056,39,1082,2883,754,73.04
1204,75423,0.36,95600,47162,37,1082,2982,754,81.16
1353,75424,0.47,121600,48948,49,1182,3297,754,66.84
2846,75426,4.76,61300,24102,16,2241,5301,754,326.91
4502,75428,1.54,84400,27662,117,3768,10089,754,85.99
862,75431,0.48,92700,42639,35,751,2052,754,58.86
1517,75432,7.52,66200,39500,31,1316,3323,754,105.86
1238,75433,1.13,81500,47662,27,1107,2773,754,104.09
591,75435,0.12,58300,44043,18,499,1185,754,67.13
917,75436,1.03,82600,42798,11,756,1876,754,165.33
494,75437,1.24,116800,53977,18,422,1078,754,60.23
440,75438,0.14,78600,51438,21,387,972,754,45.79
395,75439,0.05,86800,46125,62,341,868,754,13.92
3155,75440,10.97,115100,44340,55,2574,6350,754,114.96
65,75441,0.03,42500,49375,20,55,142,754,7.04
3459,75442,7.75,113100,52080,84,3137,8858,754,105.45
1530,75446,1.29,84300,43542,18,1248,3180,754,176.29
492,75447,1.05,93600,49527,20,414,1080,754,53.53
300,75448,6.17,70700,56705,23,254,655,754,28.35
648,75449,0.25,70400,35368,15,483,1186,754,81.37
175,75450,1.66,100000,47604,6,142,331,754,59.55
630,75451,1.87,114500,43472,35,493,1211,754,34.83
1710,75452,0.68,115500,56000,54,1515,4090,754,76.12
1481,75453,7.04,101200,41525,43,1254,3255,754,74.84
2012,75454,0.17,186900,87125,297,1869,5699,754,19.18
10305,75455,11.59,96800,43701,96,9323,28293,754,295.24
3176,75457,4.32,98100,39909,48,2475,6522,754,134.66
1726,75459,0.38,117800,64792,55,1589,4326,754,79.29
11186,75460,5.3,66800,29717,260,9613,23592,754,90.58
4725,75462,2.94,116900,60019,57,4410,11350,754,199.92
393,75468,0.6,134200,34405,18,348,888,754,50.58
207,75469,0.23,70000,28750,12,155,371,754,30.8
123,75470,0.11,71300,28611,15,97,288,754,19.22
578,75471,0.37,76200,42321,30,479,1424,754,48.19
1707,75472,18.13,90800,45179,56,1434,3548,754,63.65
1671,75473,5.65,104000,49651,46,1533,3855,754,83.26
6721,75474,23.92,79900,44976,139,5622,14882,754,107.29
72,75475,0,55300,24286,63,56,129,754,2.06
578,75476,0.24,85100,57857,25,500,1304,754,51.73
486,75477,0.76,65000,30563,16,409,977,754,60.62
409,75478,0.97,80900,47083,17,350,932,754,53.31
779,75479,1.48,94700,42695,36,677,1849,754,50.79
1285,75480,4.09,117800,60658,51,705,1646,754,32.38
193,75481,1.37,72100,34409,6,155,395,754,69.43
10317,75482,19.14,96800,42494,78,9250,24385,754,312.32
967,75486,2.74,95800,55089,22,854,2346,754,104.45
732,75487,1.36,51900,43750,15,588,1541,754,101.7
553,75488,1.57,93100,32042,10,430,1161,754,117.01
400,75489,0,86200,51518,820,361,993,754,1.21
913,75490,0.08,131100,57375,75,835,2211,754,29.34
2073,75491,0.28,96000,50158,50,1827,4801,754,95.74
275,75492,0.05,90700,50962,12,228,516,754,42.79
192,75493,0.66,42300,31607,113,175,611,754,5.4
5256,75494,4.57,80000,40427,48,4318,10862,754,227.18
2789,75495,0.29,141200,65158,105,2548,7095,754,67.32
1510,75496,0.24,86400,39175,27,1306,3351,754,123.65
1882,75497,18.41,121300,48722,52,1457,3350,754,64.66
14933,75501,7.34,85600,34355,381,13271,36298,755,95.2
10491,75503,2.43,145800,57752,309,9838,24379,755,78.99
481,75550,5.45,64500,36250,10,351,808,755,82.4
5016,75551,6.94,88200,38043,67,4428,11007,755,165.05
941,75554,1.52,72100,45536,11,784,1806,755,163.94
769,75555,0.19,70800,48375,14,655,1611,755,111.87
488,75556,0.04,58300,33092,47,436,1133,755,24.02
671,75558,0.71,67400,62929,33,603,1636,755,50.26
2658,75559,4.14,72800,40640,21,2269,5568,755,262.48
540,75560,8.32,58500,31970,14,453,1088,755,79.51
2412,75561,1.48,76300,40650,108,2118,5395,755,49.73
103,75562,0,0,0,11,76,176,755,16.56
2136,75563,0.79,71800,32292,26,1786,4282,755,161.61
145,75565,0.1,54200,44375,52,132,361,755,6.98
418,75566,0,62700,22969,16,336,782,755,47.9
1758,75567,17.01,93600,50386,62,1588,4225,755,67.79
1454,75568,1.18,60300,29725,21,1230,2876,755,134.1
1245,75569,0.01,78500,37534,957,1108,2874,755,3
3963,75570,1.33,81100,47068,85,3562,11518,755,135.23
1319,75571,1.35,93700,38688,27,1142,2846,755,103.62
1739,75572,4.97,73700,36026,48,1456,3491,755,72.1
82,75573,2.19,0,14519,18,77,181,755,9.95
826,75574,1.11,58800,42061,18,733,1868,755,106.24
6473,75601,0,128400,42284,1696,6047,15849,756,9.34
8383,75602,1.78,71800,31977,475,7554,23286,756,48.99
2580,75603,2.94,111400,47646,118,2197,5456,756,46.22
11973,75604,0.38,123400,49043,637,11307,29934,756,47
12405,75605,0.2,161400,54707,351,11691,27823,756,79.19
1590,75630,10.51,56900,29233,29,1201,2588,756,90.53
1244,75631,1.28,87400,51023,24,1061,2787,756,116.97
6296,75633,8.5,87400,53715,44,5442,13977,756,318.79
2762,75638,2.77,69300,41013,68,2419,6036,756,88.56
1560,75639,0.6,66500,50086,20,1357,3460,756,170.54
1915,75640,1.91,84500,54423,55,1731,4652,756,84.64
105,75641,0,58700,30417,67,102,223,756,3.33
100,75642,0,0,0,102,92,229,756,2.25
1055,75643,2.46,78600,45000,30,814,2074,756,68.13
5020,75644,1.71,86700,41090,61,4423,11444,756,187.44
4092,75645,1.83,106900,56098,67,3721,9778,756,145.05
5498,75647,1.13,100600,45826,174,4908,13196,756,75.96
3335,75650,2.69,136400,59274,69,3098,8611,756,124.18
924,75651,0.22,79800,43364,37,816,2189,756,58.68
5584,75652,4.32,104200,42778,95,4811,16638,756,175.71
5217,75654,1.07,103300,49798,61,4621,12417,756,203.12
2066,75656,0.47,77600,40054,45,1874,4804,756,107.13
4705,75657,22.47,79600,33108,25,3538,8246,756,335.22
1835,75661,9.41,55300,37357,22,1235,2807,756,127.36
9717,75662,0.21,94200,46462,192,8911,24536,756,127.58
532,75667,0.27,77100,42500,12,426,1021,756,84.47
991,75668,3.98,51800,26541,87,814,1993,756,22.79
371,75669,1.5,151800,63625,10,263,606,756,63.06
6923,75670,0.45,66100,30005,141,6000,17290,756,122.97
7557,75672,0.72,126700,49598,72,6834,17097,756,237.32
1277,75681,0.19,77000,37442,20,1033,2562,756,128.41
197,75682,0,76800,36216,154,177,473,756,3.08
1792,75683,6.83,75100,43816,69,1546,3914,756,56.35
2928,75684,0.33,72500,40988,75,2572,7548,756,101.01
5900,75686,12.54,93700,36278,56,4923,12985,756,231.9
1755,75691,7.2,61300,57664,45,1573,4219,756,93
2138,75692,0.35,83300,50285,57,1946,5098,756,89.77
2533,75693,0.05,140200,57618,626,2437,6869,756,10.98
14582,75701,0.03,114600,42627,2187,13372,34373,757,15.72
9448,75702,0.07,67100,32457,1984,8495,27069,757,13.64
17763,75703,0.52,177800,52011,685,16238,37166,757,54.23
3499,75704,0.67,85200,39527,129,3124,8684,757,67.08
861,75705,0.25,77900,32083,78,769,2168,757,27.69
3199,75706,1.12,62300,39697,117,2879,8771,757,75.01
5795,75707,3.9,153600,56559,265,5385,13711,757,51.69
2640,75708,0.49,60700,35500,131,2347,7156,757,54.77
2557,75709,0.68,98600,53598,244,2118,5062,757,20.72
1635,75750,1.59,89100,57964,84,1481,3937,757,46.82
7209,75751,3.95,94900,40682,107,6334,17253,757,161.03
3338,75752,4.11,92100,44940,47,2747,6986,757,147.98
2470,75754,2.01,102300,42759,47,2178,5783,757,124.2
2405,75755,1.57,85800,42467,55,2143,5719,757,104.39
1682,75756,0.33,88900,44535,58,1480,4002,757,68.55
4438,75757,4.85,148600,54451,115,3878,10022,757,87.28
4365,75758,17.91,104200,45177,184,3662,9072,757,49.37
79,75759,0,44700,22250,63,57,141,757,2.25
1392,75760,0.14,85900,49559,20,1109,2614,757,130.16
5229,75762,7.42,146900,65819,286,4684,12466,757,43.54
2916,75763,7.32,79900,46813,56,2370,6005,757,107.79
95,75764,0,45000,35833,184,83,233,757,1.26
4119,75765,3.4,128800,50276,74,3105,7607,757,102.14
10762,75766,5.13,76600,33053,86,9378,26388,757,305.33
1284,75770,3.28,89900,46188,23,1100,2776,757,120.76
7564,75771,2.83,130200,55283,128,6807,18361,757,143.99
0,75772,0,0,0,0,0,0,757,0
5848,75773,5.07,97800,42726,72,5036,12791,757,178.38
1730,75778,1.09,80100,41288,58,1339,3254,757,56.3
57,75779,0,65000,39911,142,44,122,757,0.86
90,75780,0,85000,19000,248,81,312,757,1.26
0,75782,0,0,0,0,0,0,757,0
3714,75783,8.76,85600,40322,59,3050,7219,757,121.81
332,75784,0.03,80000,39038,17,262,658,757,38.6
4190,75785,0.23,71200,43043,42,3530,11263,757,267.49
89,75788,0,0,51464,37,56,126,757,3.4
3230,75789,1.68,91400,59081,40,2849,7593,757,188.92
1697,75790,0.42,88000,39861,114,1533,4203,757,36.76
4952,75791,2.64,141400,68630,341,4652,13125,757,38.54
1538,75792,1.4,86600,38750,37,1350,3518,757,94.28
0,75797,0,0,0,0,0,0,757,0
0,75798,0,0,0,0,0,0,757,0
0,75799,0,0,0,0,0,0,757,0
7556,75801,2.5,81000,39854,78,6539,16799,758,214.6
0,75802,0,0,0,0,0,0,758,0
6930,75803,4.43,82200,41067,67,6078,22397,758,332.44
2706,75831,1.34,86600,50575,21,2105,5386,758,255.15
31,75832,0.47,0,0,4,26,66,758,16.65
2070,75833,0.45,109000,45114,14,1423,3324,758,245.18
0,75834,0,0,0,0,0,0,758,0
6007,75835,1.68,74500,29086,27,4770,12012,758,450
364,75838,0.26,70900,48359,10,273,666,758,69.94
2272,75839,1.52,63800,42569,34,1895,5069,758,147.44
3160,75840,4.44,85800,43723,26,2653,7076,758,273.31
3463,75844,3.2,79700,36631,16,2422,5718,758,359.6
1736,75845,0.31,70300,33841,10,1311,3259,758,316.75
1559,75846,6.27,81900,41622,19,1081,2718,758,145.73
1071,75847,0.22,72300,36968,8,781,1859,758,242.32
48,75848,0,66100,65417,464,37,92,758,0.2
37,75849,0,80700,21813,39,33,75,758,1.91
419,75850,0.14,44900,70132,9,271,671,758,71.37
1432,75851,1.05,71600,38309,19,1034,5050,758,259.39
768,75852,3.77,128500,47303,22,560,3762,758,172.24
487,75853,0.87,77400,32098,13,389,963,758,74.6
1538,75855,2.2,74500,38112,9,1027,2369,758,272.04
139,75856,0,168500,24658,8,85,196,758,25.5
27,75858,0,0,56250,94,23,43,758,0.46
1457,75859,18.74,55800,58403,16,846,1923,758,118.04
2508,75860,0.53,72400,46888,39,2088,6644,758,169.64
835,75861,2,106500,57589,79,666,9017,758,114.53
6313,75862,20.98,86300,35011,41,4281,10091,758,246.81
0,75865,0,0,0,0,0,0,758,0
0,75880,0,0,0,0,0,0,758,0
0,75882,0,0,0,0,0,0,758,0
0,75884,0,0,0,0,0,0,758,0
0,75886,0,0,0,0,0,0,758,0
11430,75901,3.65,89100,41809,180,10368,29036,759,161.47
0,75902,0,0,0,0,0,0,759,0
0,75903,0,0,0,0,0,0,759,0
13921,75904,1.57,89800,39265,239,12590,34004,759,142.18
0,75915,0,0,0,0,0,0,759,0
1908,75925,0.71,74200,40971,18,1594,4179,759,236.58
620,75926,0.25,58300,36100,9,463,1070,759,117.63
679,75928,0.67,127100,35292,16,540,1411,759,90.34
1471,75929,44.93,63500,31366,12,715,1599,759,132.6
1241,75930,14.87,66200,22902,15,845,2023,759,134.78
1962,75931,20.35,111700,46528,47,1104,2631,759,56.02
1234,75932,3.7,74000,45231,11,644,1437,759,125.4
784,75933,0.26,68500,43056,22,628,1599,759,74.36
100,75934,0.11,0,11250,13,54,99,759,7.39
5914,75935,3.09,75800,38668,39,5027,13685,759,354.3
515,75936,0,108800,49000,7,352,889,759,125.58
482,75937,1.32,68800,42067,15,382,994,759,67.21
1607,75938,5.27,67000,41011,14,1053,2608,759,185.98
1838,75939,0.26,70600,39123,17,1481,3992,759,241.49
2990,75941,1.4,74400,45979,107,2646,9105,759,84.82
60,75942,0.01,72300,43512,279,46,115,759,0.41
580,75943,1.13,98300,56563,20,486,1262,759,64.16
783,75944,20.88,74000,42500,33,539,1301,759,39.81
1709,75946,1.58,89400,43875,26,1449,3578,759,138.89
5241,75948,68.83,70800,34651,26,2853,6281,759,244.91
3599,75949,21.36,73900,38165,40,3007,7976,759,197.61
7536,75951,14.69,83300,33700,41,6134,16134,759,393.08
1574,75954,15.24,70500,40455,31,1263,3280,759,104.5
3463,75956,1.25,74000,42644,31,2986,7623,759,243
0,75958,0,0,0,0,0,0,759,0
752,75959,7.66,72800,28419,20,421,923,759,46.53
408,75960,0.02,73100,37417,21,323,913,759,42.96
6970,75961,6.62,88000,29413,54,5994,14910,759,277.15
0,75962,0,0,0,11403,0,3029,759,0.27
0,75963,0,0,0,0,0,0,759,0
7840,75964,2.78,76900,35827,87,6851,20097,759,231.83
8152,75965,0.43,158000,39651,238,7440,17591,759,73.91
2325,75966,0.82,67600,29595,20,1862,5371,759,270.85
847,75968,1.45,57500,32672,24,689,1766,759,73.41
1632,75969,0.86,77800,57143,48,1370,4116,759,85.89
3379,75972,1.78,72300,28338,18,2648,6620,759,360.93
1642,75973,22.75,78000,42645,15,1110,2599,759,179.14
1331,75974,2.03,66300,30440,30,1145,3126,759,102.99
1865,75975,0.9,61300,35285,26,1453,3699,759,143.47
369,75976,0.02,52500,29464,36,303,827,759,22.72
389,75977,0.12,77100,43056,4,283,750,759,182.97
49,75978,0,51400,98333,262,43,144,759,0.55
5242,75979,4.55,73500,37194,39,3856,11423,759,291.21
2182,75980,38.21,54000,39828,18,1223,2836,759,161.63
0,75990,0,0,0,0,0,0,759,0
10290,76001,0,145600,74587,2949,9896,30460,760,10.33
9252,76002,0.05,144600,79376,4209,8953,30269,760,7.19
0,76003,0,0,0,0,0,0,760,0
0,76004,0,0,0,0,0,0,760,0
0,76005,0,0,0,0,0,0,760,0
13132,76006,0.05,184600,44363,2994,11580,22639,760,7.56
0,76007,0,0,0,0,0,0,760,0
4905,76008,0.43,242600,102951,184,4666,13602,760,74.12
7397,76009,1.75,85800,51696,201,6622,19759,760,98.2
19819,76010,0,82600,31108,6233,17535,55706,760,8.94
11417,76011,0.04,102400,34412,2695,8927,21594,760,8.01
11038,76012,0.08,162100,56627,3142,10124,25689,760,8.18
14378,76013,0.5,146400,50220,3423,13295,30680,760,8.96
11790,76014,0.01,93100,42558,5909,10915,34072,760,5.77
7190,76015,0,116000,47902,3888,6710,16658,760,4.28
11926,76016,0.99,152600,81635,3482,11545,30852,760,8.86
17688,76017,0.02,135200,68538,4303,16972,44724,760,10.39
8994,76018,0.01,115900,64403,3520,8620,26938,760,7.65
0,76019,0,0,0,0,0,0,760,0
11451,76020,5.16,113400,57457,413,10311,27270,760,66
16186,76021,0.01,171900,65134,4650,15298,33673,760,7.24
6070,76022,0,126200,53793,4947,5675,13212,760,2.67
2421,76023,0.01,93000,49441,104,2206,5832,760,56.22
22307,76028,0.14,136800,69676,774,21181,59744,760,77.14
6427,76031,0.94,97400,46714,245,5830,17759,760,72.48
10177,76033,4.56,110900,53523,151,9362,24819,760,164
8148,76034,0.1,405100,152986,1742,7895,22748,760,13.06
720,76035,0.08,126600,84732,24,612,1622,760,67.36
8283,76036,0.07,132200,64852,486,7829,22352,760,45.97
15514,76039,0.01,146300,58320,5050,14512,32925,760,6.52
12627,76040,0.42,142900,45748,2420,11010,27524,760,11.37
167,76041,0.11,72000,57750,37,153,434,760,11.82
3038,76043,4.01,137200,54925,51,2543,7071,760,137.34
1491,76044,0.76,138900,59833,38,1354,3866,760,100.97
11384,76048,5.88,125700,48668,203,9004,21989,760,108.49
11619,76049,6.98,172900,64254,249,10163,25130,760,100.97
2300,76050,1.74,169500,62723,48,2106,5875,760,122.07
19674,76051,4.43,226900,76216,1258,18496,46320,760,36.83
5318,76052,0.11,181000,93031,353,5107,15995,760,45.31
11951,76053,0.06,115800,44977,3536,11002,28421,760,8.04
4734,76054,0,177300,93763,3094,4591,11764,760,3.8
1168,76055,0.63,81000,48142,35,1034,3084,760,89.06
6276,76058,0.42,101900,56151,315,5695,17123,760,54.4
1757,76059,0.01,98900,36579,1779,1523,4881,760,2.74
2573,76060,0.03,158300,74375,914,2415,6764,760,7.4
77,76061,0,0,0,101,59,152,760,1.51
20899,76063,0.2,179600,92052,1184,19956,61361,760,51.84
634,76064,0.41,165000,77500,63,598,1883,760,29.87
10192,76065,1.32,162900,81793,295,9744,28986,760,98.37
1463,76066,1.4,116200,80088,37,1200,3142,760,86.08
8702,76067,2.35,82800,40367,127,7557,22117,760,174.4
0,76068,0,0,0,0,0,0,760,0
352,76070,1.07,119600,56382,21,294,752,760,35.85
1307,76071,0.42,110600,63750,440,1176,3320,760,7.55
2088,76073,0.16,147400,54109,63,1927,5327,760,84.2
239,76077,0.28,239400,91875,81,206,590,760,7.31
3200,76078,0.21,111700,64280,128,2878,8572,760,67.19
7072,76082,0.16,118100,58255,177,6228,17748,760,100.48
2569,76084,0.29,85700,54599,164,2348,8327,760,50.83
3452,76085,0.21,131700,60291,138,3182,8787,760,63.85
8654,76086,0.02,117100,48176,1376,7868,20196,760,14.68
