Housing Units,zipcode,Water Area,Median Home Value,Median Household Income,Population Density,Occupied Housing Units,Population,id,Land Area
331,78886,0.43,105900,74196,7,250,647,788,98.64
183,78931,0.15,116400,67917,19,141,323,789,17.11
527,78932,0.66,162500,36548,14,353,757,789,54.49
785,78933,0.97,225700,59974,13,591,1433,789,108.03
3281,78934,2.91,132900,46350,35,2636,6712,789,191.88
452,78935,1.26,177200,82391,14,369,978,789,68.09
293,78938,0.36,51500,52098,21,201,471,789,22.03
1439,78940,4.67,135100,51905,16,917,2098,789,134.59
1666,78941,0.16,108800,40304,19,1171,2962,789,156.28
3712,78942,0.9,115500,43798,44,3091,8989,789,205.64
145,78943,0.11,72300,45598,61,118,352,789,5.81
316,78944,0.14,154900,47083,35,227,562,789,15.96
5374,78945,3.02,124300,49351,42,4261,10494,789,252.12
638,78946,2.9,89500,46719,10,416,960,789,96.3
2149,78947,1.24,124500,64516,21,1791,4475,789,213.75
438,78948,0.25,145100,63029,13,339,850,789,64.33
382,78949,0.11,190400,58523,6,213,517,789,79.71
1278,78950,0.92,170900,49261,18,880,2038,789,110.25
23,78951,0,0,0,12,12,26,789,2.15
0,78952,0,0,0,0,0,0,789,0
503,78953,0.21,93500,44604,10,385,934,789,91.53
908,78954,0.65,197100,55000,14,500,1071,789,75.17
2876,78956,0.04,128100,39923,32,2178,5381,789,168.82
4354,78957,2.07,107700,42994,48,3581,9067,789,187.19
969,78959,0.22,53800,39648,12,680,1837,789,156.23
0,78960,0,0,0,0,0,0,789,0
0,78961,0,0,0,0,0,0,789,0
2560,78962,0.61,115500,45545,24,1918,4733,789,194.44
468,78963,0.44,153000,70017,22,330,909,789,41.6
160,79001,0.15,73300,53214,1,110,249,790,411.91
0,79002,0,0,0,0,0,0,790,0
83,79003,0.02,86200,64653,4,65,162,790,39.6
639,79005,0.02,106600,62750,9,585,1735,790,198.58
6873,79007,0.07,60900,42613,327,5777,14542,790,44.51
0,79008,0,0,0,0,0,0,790,0
756,79009,0.53,82200,41552,19,673,2166,790,115.86
235,79010,0.19,87300,74911,5,204,802,790,174.37
132,79011,0.77,60000,71250,2,105,236,790,119.56
316,79012,0.08,174900,97083,15,305,976,790,66.64
987,79013,0.08,28200,42349,728,870,3423,790,4.7
1617,79014,4.42,98900,55690,4,1368,3771,790,943.34
8048,79015,1.79,159200,51951,50,7360,19277,790,383.68
0,79016,0,0,0,8006,0,94,790,0.01
248,79018,0.17,61700,40833,1,208,548,790,368.17
786,79019,2.89,97800,57202,3,668,1707,790,535.9
58,79021,0,212500,56250,8,50,138,790,17.09
3951,79022,1.72,93600,49521,6,3500,10741,790,1915.66
205,79024,0.01,59200,54167,7,167,405,790,58.19
34,79025,0,0,0,5,30,69,790,12.92
2021,79027,2.01,74700,29805,17,1770,5223,790,301.46
5926,79029,0.69,94000,51971,54,5496,16177,790,300.86
606,79031,0.14,60500,43688,12,497,1425,790,116.28
70,79032,0,83300,70547,8,56,157,790,19.34
52,79033,0,28300,250001,9,45,109,790,11.77
331,79034,0.02,97000,66023,2,258,637,790,294.13
1935,79035,2.31,76300,46467,8,1755,5309,790,669.51
2555,79036,3.79,74500,51035,80,2099,5128,790,64.09
409,79039,0.63,90000,54122,3,346,779,790,223.9
771,79040,0.18,92500,57604,3,648,1839,790,541.41
1324,79041,0.01,64700,36667,12,1115,3194,790,265.46
558,79042,2.55,58000,54821,3,464,1169,790,428.96
563,79043,0.82,49700,39145,10,497,1487,790,144.62
269,79044,0.06,95000,40000,4,244,766,790,195.72
7102,79045,1.95,80000,41975,16,6369,19473,790,1220.83
276,79046,0.05,54300,40750,3,227,489,790,160.18
22,79051,0.02,0,0,1,15,29,790,35.31
553,79052,1.68,71700,43250,7,484,1259,790,180.52
63,79053,0.31,109200,86607,7,47,137,790,19.34
327,79054,0.16,28000,40000,15,256,594,790,40.25
56,79056,0,72500,44375,2,31,63,790,40.94
654,79057,0.95,53800,41500,3,505,1206,790,384.86
8,79058,0,0,0,0,4,10,790,40.82
399,79059,0.06,102000,67404,2,323,837,790,484.46
196,79061,0.37,81700,60357,2,136,316,790,162.25
107,79062,0.11,40000,61000,2,87,218,790,89.39
266,79063,0.55,82000,55938,7,246,686,790,95.26
1097,79064,0.02,61600,37865,19,951,2739,790,146.04
9230,79065,1.4,69300,43921,43,7723,20840,790,489.81
0,79066,0,0,0,0,0,0,790,0
1346,79068,2.12,95900,65050,8,1207,3197,790,393.84
3912,79070,0.5,79800,49810,13,3489,9919,790,763.5
10407,79072,0.11,74000,40832,75,9193,28849,790,382.65
0,79073,0,0,0,0,0,0,790,0
0,79077,0,0,0,0,0,0,790,0
225,79078,3.13,28600,50341,17,161,377,790,22.73
1469,79079,0.17,64300,41625,5,1136,2646,790,535.65
336,79080,0.06,37000,42000,4,271,605,790,171.83
1627,79081,0.4,71600,47292,6,1397,3912,790,643.47
162,79082,0,104200,54375,4,124,315,790,84.3
1203,79083,0.23,65000,51141,8,989,2661,790,317.29
956,79084,0.12,81300,44417,4,838,2366,790,535.1
35,79085,0,0,0,46,19,53,790,1.16
865,79086,0.11,77600,53810,10,757,2105,790,204.07
318,79087,1.2,64300,48375,3,278,751,790,241.73
2368,79088,6.1,63500,34519,10,2021,5945,790,575.95
62,79091,2.53,74500,53250,8,54,147,790,19.34
518,79092,0.33,91300,44632,4,439,1106,790,288.26
40,79093,0,0,0,2,33,69,790,30.7
40,79094,0.49,33900,76190,1,29,75,790,99.65
1308,79095,0.47,66100,40494,7,1027,2686,790,371.95
975,79096,0.18,85700,54750,9,809,2229,790,242.55
528,79097,1.34,79500,71429,10,468,1150,790,119.09
211,79098,0.2,103800,54875,2,186,517,790,212.08
1559,79101,0,61900,21250,1760,1278,2817,791,1.6
4462,79102,0,93500,40216,3743,4002,9963,791,2.66
3823,79103,0.02,83000,47308,2060,3603,10594,791,5.14
2773,79104,0.04,61500,27490,2053,2538,7869,791,3.83
3,79105,0.05,0,0,0,2,6,791,17.14
12871,79106,0.01,103000,38685,2987,11830,27967,791,9.36
11871,79107,0.47,59400,32002,2018,10721,33844,791,16.77
5064,79108,2.16,95100,51746,107,4665,17726,791,165.43
20968,79109,0.06,140900,53945,4166,19172,43516,791,10.45
7453,79110,0.06,102800,47834,3363,7097,18811,791,5.59
503,79111,0.29,0,53850,165,500,1808,791,10.94
0,79114,0,0,0,0,0,0,791,0
0,79116,0,0,0,0,0,0,791,0
0,79117,0,0,0,0,0,0,791,0
7615,79118,4.11,139500,62323,116,7011,19726,791,169.91
4830,79119,2.08,228600,88370,114,4503,11539,791,101.46
0,79120,0,0,0,0,0,0,791,0
3073,79121,0,180600,69676,3553,2922,6575,791,1.85
3225,79124,0.04,211000,78627,87,3059,7819,791,90.15
0,79159,0,0,0,0,0,0,791,0
0,79166,0,0,0,0,0,0,791,0
0,79168,0,0,0,0,0,0,791,0
0,79172,0,0,0,0,0,0,791,0
0,79174,0,0,0,0,0,0,791,0
0,79178,0,0,0,0,0,0,791,0
0,79185,0,0,0,0,0,0,791,0
0,79187,0,0,0,0,0,0,791,0
0,79189,0,0,0,0,0,0,791,0
2909,79201,17.1,63100,41607,8,2333,7040,792,860.42
151,79220,0.71,120800,55781,1,91,197,792,192.34
0,79221,0,0,0,0,0,0,792,0
0,79223,0,0,0,0,0,0,792,0
516,79225,0.16,48200,48333,7,377,976,792,147.83
1848,79226,5.45,62200,38750,4,1294,3153,792,853.41
853,79227,6.46,36400,33882,2,606,1406,792,857.34
264,79229,0.29,46800,38068,2,188,424,792,216.43
82,79230,0.11,60000,59250,2,63,158,792,63.9
26,79231,0,0,0,3,18,45,792,13.29
118,79233,3.26,51300,19375,2,67,180,792,77.42
